"species","island","bill_len","bill_dep","flipper_len","body_mass_g","sex"
"Adelie","Torgersen",43.7,18.1,195,3860,"female"
"Adelie","Torgersen",40.1,17,189,2900,"female"
"Adelie","Biscoe",43.5,17.4,179,3130,"female"
"Adelie","Dream",36.5,19.7,192,3470,"male"
"Adelie","Biscoe",37.3,16.5,203,3790,"female"
"Chinstrap","Dream",48.7,17.6,192,3740,"female"
"Chinstrap","Torgersen",45.9,19.4,195,3890,"female"
"Adelie","Biscoe",41.5,17.3,200,3930,"female"
"Gentoo","Dream",51,14.5,208,4860,"female"
"Chinstrap","Dream",47.4,20,187,3570,"male"
"Adelie","Torgersen",36.9,19,184,4310,"male"
"Adelie","Dream",39.7,18.4,181,3620,"male"
"Adelie","Dream",43.6,20.7,197,3560,"male"
"Gentoo","Biscoe",46.2,15.3,216,5090,"female"
"Gentoo","Biscoe",53.6,15.3,216,4890,"male"
"Adelie","Torgersen",36.7,19.3,194,4080,"female"
"Chinstrap","Biscoe",49.9,19.3,198,3960,"male"
"Chinstrap","Torgersen",47.7,17.2,189,3760,"female"
"Gentoo","Dream",47.6,16.9,215,4680,"male"
"Chinstrap","Torgersen",52.1,19.8,202,3680,"female"
"Chinstrap","Torgersen",47.5,18.4,192,3480,"female"
"Adelie","Dream",38.5,18.1,190,3000,"male"
"Gentoo","Torgersen",48.3,16.9,221,5640,"female"
"Adelie","Biscoe",42.9,18.6,190,3640,"male"
"Gentoo","Biscoe",46.1,16,224,5310,"female"
"Adelie","Biscoe",41.2,17.1,187,3650,"female"
"Gentoo","Biscoe",46.9,16.3,215,5720,"male"
"Gentoo","Torgersen",50.7,15.6,224,4970,"female"
"Gentoo","Biscoe",48.5,15,227,5050,"female"
"Chinstrap","Torgersen",47.3,19.4,202,3970,"male"
"Adelie","Torgersen",39.8,19.1,190,4020,"male"
"Gentoo","Biscoe",42.1,15.2,225,5080,"male"
"Gentoo","Torgersen",50.2,15,230,5010,"male"
"Adelie","Dream",38.5,18.4,183,3570,"male"
"Gentoo","Dream",45.7,14.8,221,5030,"male"
"Gentoo","Dream",46.3,15.2,221,5410,"male"
"Chinstrap","Biscoe",47.3,17.6,185,4100,"male"
"Chinstrap","Dream",45.8,17.7,207,4120,"female"
"Chinstrap","Biscoe",51.7,18.4,201,3780,"female"
"Chinstrap","Torgersen",42.7,19.1,189,3850,"male"
"Gentoo","Torgersen",50.4,16.9,223,5010,"female"
"Adelie","Biscoe",36.4,19,180,3420,"female"
